OBJECTCODE	FIELDNAME	FSTYPE	FSSOURCE	FSQUERYCODE	FSQUERYVALUE	REFRESHTYPE	VALIDATE	DATECREATED	CREATEDBY	LASTUPDATED	LASTUPDATEDBY	RCDVERSION	FSQUERYTITLES	FSQUERYFORMATS	FSQUERYWIDTS
sysRpthms_apinvsum	whs	LQ	Q		select warehouse, warehousename from warehouses	M	0	2013-06-20 16:38:27	manager	2013-06-20 16:38:27	manager	1			
sysRpthms_ap_aging	custno	LQ	Q		SELECT suppno, suppname FROM suppliers	M	0	2013-06-20 15:40:09	manager	2013-06-20 15:40:42	manager	2			
sysRpthms_ap_aging2	custgroup	LQ	Q		select suppgroup, groupname from suppliergroups	M	0	2014-03-03 18:35:20	manager	2014-03-03 18:35:20	manager	1			
sysRpthms_ap_aging2	custno	LQ	Q		SELECT suppno, suppname FROM suppliers	M	0	2014-03-03 18:34:36	manager	2014-03-03 18:34:36	manager	1			
sysRpthms_araging	custno	LQ	Q		select custno, custname from customers	M	0	2013-06-11 18:19:02	manager	2013-06-11 18:19:02	manager	1	[null]	[null]	null
sysRptHMS_ARAGING2	custgroup	LQ	Q		select custgroup, groupname from customergroups	M	0	2014-03-03 18:17:29	manager	2014-03-03 18:17:29	manager	1			
sysRptHMS_ARAGING2	custno	LQ	Q		select custno, custname from customers	M	0	2014-03-03 18:16:34	manager	2014-03-03 18:16:34	manager	1			
sysRpthms_bl	acctno	LQ	Q		SELECT c.BANKACCTNO, b.BANK, b.BANKNAME FROM banks b inner join housebankaccounts c on c.bank = b.bank	M	0	2013-06-20 18:14:58	manager	2013-06-20 18:14:58	manager	1			
sysRpthms_census_filter_roomtype	roomtype	LQ	Q		SELECT code, name FROM u_hisroomtypes where u_type = 'Special Room'	M	0	2013-06-06 16:02:36	manager	2013-06-20 11:31:18	manager	3			
sysRpthms_census_filter_roomtype_by_f	roomtype	LQ	Q		SELECT code, name FROM u_hisroomtypes where u_type = 'Special Room'	M	0	2013-06-06 16:15:13	manager	2013-06-20 11:50:33	manager	3			
sysRpthms_cf2	bpcode	LQ	Q		select code, name from u_hispatients 	M	0	2013-06-11 10:37:46	manager	2013-06-11 10:37:46	manager	1	[null]	[null]	null
sysRpthms_gl	account	LQ	Q		select acctcode, acctname from chartofaccounts	M	0	2013-06-20 17:27:35	manager	2013-06-20 17:27:35	manager	1			
sysRpthms_heartstation	trx	LQ	Q		select code, name from u_hislabtesttypes	M	0	2013-07-03 19:27:51	manager	2013-07-03 19:27:51	manager	1			
sysRpthms_ixr	itemgroup	LQ	Q		select itemgroup, itemgroupname from itemgroups	M	0	2013-06-26 21:22:48	manager	2013-06-26 21:22:48	manager	1			
sysRpthms_ixr	whscode	LQ	Q		select warehouse, warehousename from warehouses	M	0	2013-06-26 21:22:28	manager	2013-06-26 21:22:28	manager	1			
