REPORTID	PARAMID	PARAMNAME	ALIAS	FORMAT	INPUTTYPE	DEFAULTVALUE	LINKTABLE	DESCRETEVALUE	REQUIRED	DATECREATED	CREATEDBY	LASTUPDATED	LASTUPDATEDBY	RCDVERSION	SETLINKTABLE	SETVALIDVALUES	SETDEFAULTVALUE	SEQ
hms_apinvsum	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-20 16:36:02	manager	2013-06-20 16:36:02	manager	1	1	0	1	0
hms_apinvsum	date1	From :		date	text	eval:currentdate()		1	1	2013-06-20 16:36:21	manager	2013-06-20 16:36:21	manager	1	0	0	1	1
hms_apinvsum	date2	to :		date	text	eval:currentdate()		1	1	2013-06-20 16:36:38	manager	2013-06-20 16:36:38	manager	1	0	0	1	2
hms_apinvsum	whs	Warehouse :		any	text			1	0	2013-06-20 16:37:38	manager	2013-06-20 16:37:38	manager	1	0	0	0	3
hms_ap_aging	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-20 15:37:27	manager	2013-06-20 15:37:27	manager	1	1	0	1	0
hms_ap_aging	custno	Doctor/Supplier : 		any	text			1	0	2013-06-20 15:38:39	manager	2014-03-03 18:43:12	manager	3	0	0	0	2
hms_ap_aging	date1	As of :		date	text	eval:currentdate()		1	1	2013-06-20 15:38:07	manager	2013-06-20 15:38:07	manager	1	0	0	1	1
hms_ap_aging2	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2014-03-03 18:30:38	manager	2014-03-03 18:31:50	manager	2	1	0	1	0
hms_ap_aging2	custgroup	Supplier Group :		any	text			1	0	2014-03-03 18:34:15	manager	2014-03-03 18:34:15	manager	1	0	0	0	4
hms_ap_aging2	custno	Supplier Code :		any	text			1	0	2014-03-03 18:33:17	manager	2014-03-03 18:33:17	manager	1	0	0	0	3
hms_ap_aging2	date1	As of :		date	text	eval:currentdate()		1	1	2014-03-03 18:31:41	manager	2014-03-03 18:31:41	manager	1	0	0	1	2
hms_araging	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-11 18:14:36	manager	2013-06-11 18:14:36	manager	1	1	0	1	0
hms_araging	custno	Patient/Customer :		any	text			1	0	2013-06-11 18:16:36	manager	2013-10-22 15:27:40	manager	2	0	0	0	2
hms_araging	date1	As of :		date	text	eval:currentdate()		1	1	2013-06-11 18:16:07	manager	2013-06-11 18:16:07	manager	1	0	0	1	1
hms_araging	hi	Health Insurance :		any	select			1	0	2013-10-22 15:15:10	manager	2013-10-22 15:15:10	manager	1	0	1	0	5
hms_araging2	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2014-03-03 17:51:28	manager	2014-03-03 18:13:33	manager	4	1	0	1	0
hms_araging2	custgroup	Customer Group :		any	text			1	0	2014-03-03 17:53:30	manager	2014-03-03 18:15:59	manager	2	0	0	0	4
hms_araging2	custno	Customer Code :		any	text			1	0	2014-03-03 17:52:17	manager	2014-03-03 18:15:45	manager	6	0	0	0	3
hms_araging2	date1	As of :		date	text	eval:currentdate()		1	1	2014-03-03 17:51:53	manager	2014-03-03 18:13:42	manager	4	0	0	1	2
hms_bl	acctno	Bank Account No. :		any	text			1	0	2013-06-20 18:13:29	manager	2013-06-20 18:13:29	manager	1	0	0	0	1
hms_bl	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-20 18:12:52	manager	2013-06-20 18:12:52	manager	1	1	0	1	0
hms_bl	date1	From :		date	text	eval:currentdate()		1	1	2013-06-20 18:13:55	manager	2013-06-20 18:13:55	manager	1	0	0	1	2
hms_bl	date2	to :		date	text	eval:currentdate()		1	1	2013-06-20 18:14:14	manager	2013-06-20 18:14:14	manager	1	0	0	1	3
hms_bs	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	0	2013-06-20 17:56:44	manager	2013-06-20 17:56:44	manager	1	1	0	1	0
hms_bs	date1	As of :		date	text	eval:currentdate()		1	1	2013-06-20 17:57:08	manager	2013-06-20 17:57:08	manager	1	0	0	1	1
hms_census_filter_roomtype	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-06 15:54:47	manager	2013-06-06 15:55:07	manager	2	1	0	1	0
