REPORTID	REPORTNAME	REPORTACTION	DATECREATED	CREATEDBY	LASTUPDATED	LASTUPDATEDBY	RCDVERSION	SYSMANAGE	PROCNAME	DBTYPE
hms_apinvsum	Purchase Subsidiary Ledger	QS	2013-06-20 16:35:17	manager	2013-06-20 16:35:17	manager	1	1		mysql
hms_ap_aging	A/P Aging - DOCTORS	QS	2013-06-20 15:36:45	manager	2014-03-03 18:27:59	manager	4	1		mysql
hms_ap_aging2	A/P Aging - SUPPLIERS/OTHERS	QS	2014-03-03 18:29:39	manager	2014-03-03 18:36:34	manager	2	1		mysql
hms_araging	A/R Aging - PHIC/HMO/LGU/CO	QS	2013-06-11 18:11:14	manager	2014-03-03 18:23:33	manager	4	1		mysql
HMS_ARAGING2	A/R Aging - EMPLOYEE/NON-TRADE	QS	2014-03-03 17:50:55	manager	2014-03-03 18:29:21	manager	3	1		mysql
hms_bl	Bank Ledger	QS	2013-06-20 18:12:12	manager	2013-06-20 18:12:22	manager	2	1		mysql
hms_bs	Balance Sheet	QS	2013-06-20 17:56:06	manager	2013-06-20 17:56:06	manager	1	1		mysql
hms_census_filter_roomtype	Cases Report	QS	2013-06-06 15:54:22	manager	2013-06-06 16:03:43	manager	2	1		mysql
hms_census_filter_roomtype_by_f	Census Report	QS	2013-06-06 16:12:37	manager	2013-10-21 15:42:18	manager	3	1		mysql
hms_cf2	PHIC - Claim Form 2	QS	2013-06-11 10:20:05	manager	2013-06-11 16:42:37	manager	3	1		mysql
hms_chrgrpts	Charge/Render Reports	QS	2014-03-13 23:16:56	manager	2014-03-13 23:21:14	manager	2	1		mysql
hms_coa	Chart of Accounts	QS	2013-06-29 18:12:38	manager	2013-06-29 18:12:38	manager	1	1		mysql
hms_daily_census	Daily Census	QS	2013-06-06 15:45:00	manager	2013-10-21 15:11:12	manager	2	1		mysql
hms_dcr	Daily Collection Summary	QS	2013-08-29 14:23:22	manager	2014-01-09 17:38:29	manager	2	1		mysql
hms_deips	Departmental Expenses, Issuances, Purchases & Stock Transfer Report	QS	2013-08-07 17:00:41	manager	2013-08-07 17:00:41	manager	1	1		mysql
hms_dietL	Diet List	QS	2013-06-20 13:53:28	manager	2013-06-20 13:59:37	manager	2	1		mysql
hms_dl	Discharged List	QS	2013-06-20 12:49:16	manager	2013-06-20 12:49:16	manager	1	1		mysql
hms_gl	General Ledger	QS	2013-06-20 17:18:35	manager	2013-06-20 17:18:35	manager	1	1		mysql
hms_heartstation	Heart Station Summary Report	QS	2013-07-03 19:23:15	manager	2013-08-22 13:59:36	manager	5	1		mysql
hms_inv_SCvsActual	Inventory Stock Status (Stock Card vs. Actual)	QS	2013-08-20 15:02:12	manager	2013-08-20 15:15:43	manager	2	1		mysql
hms_iop_ledger	Admission and Consultation Report	QS	2013-11-11 16:16:02	manager	2013-11-11 16:16:02	manager	1	1		mysql
