USERID	MENUID	ITEMID	MENUNAME	MENUCMD	MENUTYPE	RCDVERSION	CREATEDBY	DATECREATED	LASTUPDATEDBY	LASTUPDATED	AUTHTYPE	VISIBLE	ISSYSTEM	IS_SD	IS_SA	IS_SAP	IS_PU	IS_PUP	IS_IN	IS_INP	IS_GL	IS_GLP	IS_BA	IS_SE	IS_SO	IS_FU	IS_FUP	IS_FI	IS_FIP	IS_PR	IS_PRP	IS_PA	IS_PAP	IS_HU	IS_HUP	IS_GE
	BANKINGRPTS	10.0	Collections - Report	rptCollections	P	2	sa	2006-12-08 10:04:20	sa	2006-12-09 04:18:05	F	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	20.0	Collections And Deposits Report	rptCollectionsAndDeposits	P	2	sa	2006-12-06 15:47:47	sa	2006-12-09 04:18:13	F	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	100.0	Incoming Payment List - Customer	IncomingPaymentListCustomer	P	1	sa	2008-04-07 16:05:08	sa	2008-04-07 16:05:08	F	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	110.0	Incoming Payment List - Supplier	IncomingPaymentListSupplier	P	1	sa	2008-04-07 16:05:25	sa	2008-04-07 16:05:25	F	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	120.0	Incoming Payment List - G/L Account	IncomingPaymentListAccount	P	2	sa	2008-04-07 16:05:44	manager	2009-06-18 05:26:49	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	150.0	Outgoing Payment List - Customer	OutgoingPaymentListCustomer	P	1	sa	2008-04-07 16:06:05	sa	2008-04-07 16:06:05	F	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	160.0	Outgoing Payment List - Supplier	OutgoingPaymentListSupplier	P	1	sa	2008-04-07 16:06:25	sa	2008-04-07 16:06:25	F	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	170.0	Outgoing Payment List - G/L Account	OutgoingPaymentListAccount	P	2	sa	2008-04-07 16:06:46	manager	2009-06-18 05:26:49	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	180.0	Credit Memo List - Customer	CreditMemoListCustomer	P	1	system	2009-12-19 10:09:10	system	2009-12-19 10:09:10	F	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	190.0	Credit Memo List - Supplier	CreditMemoListSupplier	P	1	system	2009-12-19 10:09:10	system	2009-12-19 10:09:10	F	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	195.0	Credit Memo List - G/L Account	CreditMemoListAccount	P	2	system	2009-12-19 10:09:10	system	2009-12-19 10:10:56	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	210.0	Debit Memo List - Customer	DebitMemoListCustomer	P	1	system	2009-12-19 10:10:12	system	2009-12-19 10:10:12	F	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	220.0	Debit Memo List - Supplier	DebitMemoListSupplier	P	1	system	2009-12-19 10:10:12	system	2009-12-19 10:10:12	F	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	230.0	Debit Memo List - G/L Account	DebitMemoListAccount	P	2	system	2009-12-19 10:10:12	system	2009-12-19 10:10:56	F	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	250.0	External Bank Reconciliation - List	ExternalBankReconList	P	1	manager	2010-08-06 21:32:01	manager	2010-08-06 21:32:01	F	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	300.0	Cash In Bank Ledger	CashInBankLedger	P	1	system	2009-12-19 10:19:50	system	2009-12-19 10:19:50	F	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	500.0	Cash Receipts Book	sysRptCRBook	P	2	manager	2010-02-11 12:47:16	manager	2010-02-15 19:40:09	F	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	501.0	PDC Schedule	sysRptpdcassof	P	3	manager	2010-02-11 16:10:49	manager	2010-03-03 11:05:11	F	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	502.0	Unapplied Customer Deposit Schedule	sysRptunappliedcustdeposit	P	3	manager	2010-02-11 17:27:40	manager	2010-03-03 11:05:11	F	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	503.0	Applied Customer Deposit Schedule	sysRptappliedcustdeposit	P	3	manager	2010-02-11 17:58:01	manager	2010-03-03 11:05:11	F	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	504.0	Cash In Bank Balances Report	sysRptcashinbank	P	2	manager	2010-05-27 17:18:39	manager	2010-05-27 18:17:38	F	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	BANKINGRPTS	505.0	Bank Ledger Report	sysRpthms_bl	P	2	manager	2010-05-27 18:17:38	manager	2013-06-20 18:19:07	F	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	10.0	Chart of Accounts	sysRpthms_coa	P	1	manager	2013-06-29 18:20:19	manager	2013-06-29 18:20:19		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	FINANCIALRPTS	50.0	Journal Voucher List	JournalVoucherList	P	2	sa	2008-09-03 20:55:07	sa	2008-09-03 20:58:06	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	60.0	Journal Entry List	JournalEntryList	P	1	sa	2008-11-10 02:18:27	sa	2008-11-10 02:18:27	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	100.0	Journal Ledger	JournalLedger	P	1	manager	2009-08-29 09:11:35	manager	2009-08-29 09:11:35	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	109.0	General Ledger 	sysRpthms_gl	P	2	manager	2009-11-21 03:18:17	manager	2013-06-20 17:51:13	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	110.0	Trial Balance	sysRpthms_tb	P	3	manager	2009-11-21 03:15:19	manager	2013-06-20 17:51:13	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	112.0	Book of Accounts	sysRpttrans_journal	P	1	manager	2010-02-15 00:28:27	manager	2010-02-15 00:28:27	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	113.0	Subsidiary Ledger	sysRptsl	P	1	manager	2010-05-28 14:55:59	manager	2010-05-28 14:55:59	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	120.0	Balance Sheet	sysRpthms_bs	P	2	manager	2009-11-21 03:18:17	manager	2013-06-20 18:03:23	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	130.0	Comparative Balance Sheet	sysRptcom_balance_sheet	P	2	manager	2009-11-21 03:18:17	manager	2013-06-20 18:03:23	F	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	131.0	Profit and Loss	sysRpthms_pl	P	2	manager	2009-11-21 19:35:02	manager	2013-06-20 18:03:23	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	140.0	Cash Flow	sysRptcash_flow	P	1	manager	2009-11-21 03:24:04	manager	2009-11-21 03:24:04	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	151.0	Journal Voucher List Report	sysRptjv_list	P	4	manager	2010-03-04 18:16:50	manager	2010-03-08 19:43:35	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	FINANCIALRPTS	152.0	Recurring Postings List Report	sysRptrecurringposting	P	1	manager	2010-03-18 15:25:55	manager	2010-03-18 15:25:55	F	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
