PROGID	PRINTLAYOUT	LOCATION	REPORTFILE	ISDEFAULT	ISACTIVE	DATECREATED	CREATEDBY	LASTUPDATED	LASTUPDATEDBY	RCDVERSION	VIEWERTYPE	USERPARAMS	USERGROUPPARAMS	USERROLEPARAMS
JournalEntries	je	eBT Standard Reports Add-On	standard_forms\\journal_entries.rpt	1	1	2011-10-03 19:46:33	manager	2011-10-03 19:46:33	manager	1	1	[null]	[null]	null
sysRptxxx_accounts_list_summary	Account List Summary - all levels	eBT Standard Reports Add-On	standard_rpts\\\\accounts_list_summary.rpt	1	1	2011-09-13 14:26:43	manager	2011-09-13 14:26:43	manager	1	1	[null]	[null]	null
sysRptxxx_accounts_list_summary	Account List Summary - level 1	eBT Standard Reports Add-On	standard_rpts\\\\accounts_list_summary_level_1.rpt	0	1	2011-09-13 14:26:43	manager	2011-09-13 14:26:43	manager	1	1	[null]	[null]	null
sysRptxxx_accounts_list_summary	Account List Summary - level 2	eBT Standard Reports Add-On	standard_rpts\\\\accounts_list_summary_level_2.rpt	0	1	2011-09-13 14:26:43	manager	2011-09-13 14:26:43	manager	1	1	[null]	[null]	null
sysRptxxx_accounts_list_summary	Account List Summary - level 3	eBT Standard Reports Add-On	standard_rpts\\\\accounts_list_summary_level_3.rpt	0	1	2011-09-13 14:26:43	manager	2011-09-13 14:26:43	manager	1	1	[null]	[null]	null
sysRptxxx_account_list_detail	Accounts List Detail - all levels	eBT Standard Reports Add-On	standard_rpts\\\\accounts_list_detail.rpt	1	1	2011-09-13 16:20:15	manager	2011-09-13 16:20:15	manager	1	1	[null]	[null]	null
sysRptxxx_account_list_detail	Accounts List Detail - level 1	eBT Standard Reports Add-On	standard_rpts\\\\accounts_list_detail_level_1.rpt	0	1	2011-09-13 16:35:18	manager	2011-09-13 16:35:18	manager	1	1	[null]	[null]	null
sysRptxxx_account_list_detail	Accounts List Detail - level 2	eBT Standard Reports Add-On	standard_rpts\\\\accounts_list_detail_level_2.rpt	0	1	2011-09-13 16:35:18	manager	2011-09-13 16:35:18	manager	1	1	[null]	[null]	null
sysRptxxx_account_list_detail	Accounts List Detail - level 3	eBT Standard Reports Add-On	standard_rpts\\\\accounts_list_detail_level_3.rpt	0	1	2011-09-13 16:35:18	manager	2011-09-13 16:35:18	manager	1	1	[null]	[null]	null
sysRptxxx_account_transactions	Account Transactions	eBT Standard Reports Add-On	standard_rpts\\\\account_transactions.rpt	1	1	2011-09-17 16:15:18	manager	2011-09-17 16:15:18	manager	1	1	[null]	[null]	null
sysRptxxx_aging	Aging	eBT Standard Reports Add-On	standard_rpts\\\\aging3.rpt	1	1	2010-05-30 22:43:48	manager	2011-10-01 18:02:29	manager	4	1	[null]	[null]	null
sysRptxxx_aging	Aging - Summary	eBT Standard Reports Add-On	standard_rpts\\\\aging3_summary.rpt	0	1	2010-05-30 23:08:11	manager	2011-10-01 18:02:29	manager	3	1	[null]	[null]	null
sysRptxxx_appliedcustdeposit	APPLIED CUSTOMER DEPOSIT SCHEDULE	eBT Standard Reports Add-On	standard_rpts\\\\applied_custdeposit.rpt	1	1	2008-08-05 15:52:43	sa	2011-10-02 01:40:04	manager	3	1	[null]	[null]	null
