REPORTID	PARAMID	PARAMNAME	ALIAS	FORMAT	INPUTTYPE	DEFAULTVALUE	LINKTABLE	DESCRETEVALUE	REQUIRED	DATECREATED	CREATEDBY	LASTUPDATED	LASTUPDATEDBY	RCDVERSION	SETLINKTABLE	SETVALIDVALUES	SETDEFAULTVALUE	SEQ
xxx_accounts_list_summary	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	0	2011-09-13 14:24:42	manager	2011-09-13 14:24:42	manager	1	1	0	1	0
xxx_accounts_list_summary	date1	As of :		date	text	eval:currentdate()		1	1	2011-09-13 14:25:06	manager	2011-09-13 14:25:06	manager	1	0	0	1	1
xxx_account_list_detail	acctno	Account No.		any	text			1	0	2011-09-13 16:18:51	manager	2011-09-13 16:19:38	manager	2	0	0	0	1
xxx_account_list_detail	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	0	2011-09-13 16:18:03	manager	2011-09-13 16:18:03	manager	1	1	0	1	0
xxx_account_list_detail	date1	As of :		date	text	eval:currentdate()		1	1	2011-09-13 16:18:33	manager	2011-09-13 16:19:32	manager	2	0	0	1	2
xxx_account_list_detail	zero	Include 0 balances :		any	select			1	0	2011-09-13 16:55:59	manager	2012-06-26 19:36:34	manager	9	0	1	0	3
xxx_account_transactions	acctno	Account No.		any	text			1	0	2011-09-17 16:06:59	manager	2011-09-17 16:06:59	manager	1	0	0	0	1
xxx_account_transactions	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	0	2011-09-17 16:06:18	manager	2011-09-17 16:06:18	manager	1	1	0	1	0
xxx_account_transactions	date1	From :		date	text	eval:currentdate()		1	1	2011-09-17 16:08:23	manager	2011-09-26 16:41:28	manager	2	0	0	1	2
xxx_account_transactions	date2	to :		date	text	eval:currentdate()		1	1	2011-09-17 16:08:44	manager	2011-09-26 16:41:22	manager	2	0	0	1	3
xxx_account_transactions	sub	SL Account No.		any	text			1	0	2011-09-17 16:07:46	manager	2011-09-26 16:41:33	manager	2	0	0	0	4
xxx_aging	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2010-02-07 23:00:44	manager	2010-02-07 23:05:01	manager	2	1	0	1	0
xxx_aging	date1	As of :		date	text	eval:currentdate()		1	1	2010-02-07 23:01:15	manager	2010-02-07 23:05:28	manager	3	0	0	1	1
xxx_appliedcustdeposit	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2008-08-05 15:49:15	sa	2010-02-11 17:48:04	manager	6	1	0	1	0
xxx_appliedcustdeposit	date1	From :		date	text	eval:currentdate()		1	1	2008-08-05 15:50:32	sa	2009-06-22 00:45:23	sa	3	0	0	1	2
xxx_appliedcustdeposit	date2	to :		date	text	eval:currentdate()		1	1	2008-08-05 15:51:02	sa	2009-06-22 00:45:34	sa	4	0	0	1	3
xxx_ap_aging	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2009-09-27 02:19:40	manager	2009-09-27 02:19:40	manager	1	1	0	1	0
xxx_ap_aging	date1	As of :		date	text	eval:currentdate()		1	1	2009-09-27 02:22:06	manager	2009-09-27 02:22:06	manager	1	0	0	1	3
xxx_ap_aging	dep	dep		any	hidden			1	0	2009-09-27 02:21:37	manager	2009-09-27 02:21:37	manager	1	0	0	0	2
xxx_ap_aging	suppno	suppno		any	hidden			1	0	2009-09-27 02:21:15	manager	2009-09-27 02:21:20	manager	2	0	0	0	1
xxx_arcreditmemo_list	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2010-03-08 19:49:20	manager	2010-03-08 19:59:47	manager	2	1	0	1	0
xxx_arcreditmemo_list	date1	From :		date	text	eval:currentdate()		1	1	2010-03-08 19:57:48	manager	2010-03-08 19:57:48	manager	1	0	0	1	1
