REPORTID	PARAMID	PARAMVALUE	PARAMVALUEDESC	PARAMVALUEINDEX	CREATEDBY	LASTUPDATED	LASTUPDATEDBY	RCDVERSION	DATECREATED
xxx_account_list_detail	zero		Yes	0	manager	2011-09-13 16:55:59	manager	1	2011-09-13 16:55:59
xxx_account_list_detail	zero	0	No	0	manager	2011-09-13 16:55:59	manager	1	2011-09-13 16:55:59
xxx_arcreditmemo_list	status		All	0	manager	2010-03-08 19:59:17	manager	1	2010-03-08 19:59:17
xxx_arcreditmemo_list	status	C	Closed	0	manager	2010-03-08 19:59:17	manager	1	2010-03-08 19:59:17
xxx_arcreditmemo_list	status	D	Draft	0	manager	2010-03-08 19:59:17	manager	1	2010-03-08 19:59:17
xxx_arcreditmemo_list	status	O	Open	0	manager	2010-03-08 19:59:17	manager	1	2010-03-08 19:59:17
xxx_arinvoice_list	status		All	0	manager	2010-03-08 19:37:01	manager	1	2010-03-08 19:37:01
xxx_arinvoice_list	status	C	Closed	0	manager	2010-03-08 19:37:01	manager	1	2010-03-08 19:37:01
xxx_arinvoice_list	status	D	Draft	0	manager	2010-03-08 19:37:01	manager	1	2010-03-08 19:37:01
xxx_arinvoice_list	status	O	Open	0	manager	2010-03-08 19:37:01	manager	1	2010-03-08 19:37:01
xxx_bnk_tj_cd	doctype	0	All	0	manager	2011-09-27 14:26:33	manager	1	2011-09-27 14:26:33
xxx_bnk_tj_cd	doctype	\\'PY\\'	Disbursements	0	manager	2011-09-27 14:26:33	manager	1	2011-09-27 14:26:33
xxx_bnk_tj_cr	doctype	0	All	0	manager	2011-09-27 14:59:45	manager	1	2011-09-27 14:59:45
xxx_bnk_tj_cr	doctype	\\'RC\\'	Receipts	0	manager	2011-09-27 14:59:45	manager	1	2011-09-27 14:59:45
xxx_bs_last_year_analysis	zero		Yes	0	manager	2011-09-23 01:00:11	manager	1	2011-09-23 01:00:11
xxx_bs_last_year_analysis	zero	0	No	0	manager	2011-09-23 01:00:11	manager	1	2011-09-23 01:00:11
xxx_bs_standard	zero		Yes	0	manager	2011-09-19 03:08:24	manager	1	2011-09-19 03:08:24
xxx_bs_standard	zero	0	No	0	manager	2011-09-19 03:08:24	manager	1	2011-09-19 03:08:24
xxx_goodsreturn_list	status		All	0	manager	2010-03-17 15:37:44	manager	1	2010-03-17 15:37:44
xxx_goodsreturn_list	status	C	Closed	0	manager	2010-03-17 15:37:44	manager	1	2010-03-17 15:37:44
xxx_goodsreturn_list	status	D	Draft	0	manager	2010-03-17 15:37:44	manager	1	2010-03-17 15:37:44
xxx_goodsreturn_list	status	O	Open	0	manager	2010-03-17 15:37:44	manager	1	2010-03-17 15:37:44
xxx_goods_issue	status		All	0	manager	2010-04-26 14:45:58	manager	1	2010-04-26 14:45:58
xxx_goods_issue	status	C	Closed	0	manager	2010-04-26 14:45:58	manager	1	2010-04-26 14:45:58
xxx_goods_issue	status	D	Draft	0	manager	2010-04-26 14:45:58	manager	1	2010-04-26 14:45:58
xxx_goods_issue	status	O	Open	0	manager	2010-04-26 14:45:58	manager	1	2010-04-26 14:45:58
xxx_goods_receipt	status		All	0	manager	2010-04-26 12:28:21	manager	1	2010-04-26 12:28:21
xxx_goods_receipt	status	C	Closed	0	manager	2010-04-26 12:28:21	manager	1	2010-04-26 12:28:21
xxx_goods_receipt	status	D	Draft	0	manager	2010-04-26 12:28:21	manager	1	2010-04-26 12:28:21
xxx_goods_receipt	status	O	Open	0	manager	2010-04-26 12:28:21	manager	1	2010-04-26 12:28:21
xxx_grpo_list	status		All	0	manager	2010-03-17 15:19:34	manager	1	2010-03-17 15:19:34
xxx_grpo_list	status	C	Closed	0	manager	2010-03-17 15:19:34	manager	1	2010-03-17 15:19:34
xxx_grpo_list	status	D	Draft	0	manager	2010-03-17 15:19:34	manager	1	2010-03-17 15:19:34
xxx_grpo_list	status	O	Open	0	manager	2010-03-17 15:19:34	manager	1	2010-03-17 15:19:34
